id,source,content,char len
87014f2d-de94-49b9-a242-077378457521,Phone,"Congratulations! You've been selected for a free premium subscription. To claim your prize, please confirm your your credit card number.",136
5089f40f-6c9c-48f2-b549-de23dc6d7de7,Phone,"Emergency: Your identity has been compromised. To protect yourself, please provide your personal information.",109
e6cc2b1f-e336-4029-9663-c849cf04dbb3,Phone,"Attention: Your motorcycle registration is expired. To avoid fines, please call our office with your vehicle identification number (VIN).",137
6a289d3e-e0c8-4d37-94f9-de04fa84e563,Phone,"Hello, you've been selected for a complimentary access of our bank account. To activate, please enter your contact details.",123
d01dc18b-6fd5-4739-9af2-42688feaf61e,Phone,"Hello, you've been selected for a free trial of our email account. To activate, please enter your contact details.",114
bd36e05c-84f1-49a6-94d2-ac47ab243522,Phone,Hello! We're conducting a survey for new exclusive offers. Your input is valuable. Please answer a few questions to participate.,128
8a70697a-c289-4abf-8185-b79f7e0f9d5d,Phone,"Attention: Your vehicle registration is expired. To avoid fines, please call our office with your driver's license number.",122
708dffcc-2a3b-43ec-bec0-93422ee2908f,Phone,"Hello, this is James Phillips from Vehicle Department. Your vehicle registration has been flagged for unauthorized access. Please provide your your credit card number to resolve this.",183
5be44d65-5bea-4de3-ae00-726fea800619,Phone,"Congratulations! You've been selected for a free premium subscription. To claim your prize, please confirm your your account details.",133
6ab8d71b-5057-41a4-a3e7-af4bed79e1d2,Phone,"Hi, this is Olivia Wang DDS from T-Mobile. We've detected unauthorized usage on your bank account. Please verify your your credit card number.",142
fdf2d5ff-af16-4367-8bd3-190052ef0b25,Phone,"Emergency: Your personal identity has been compromised. To protect yourself, please provide your full name and date of birth.",125
7073f393-1634-4beb-9e9e-8ceee6a12894,Phone,Hello! We're conducting a survey for new new services. Your input is valuable. Please answer a few questions to participate.,124
6653c842-9554-4440-9601-d3f3820f1a59,Phone,Urgent: Your bank account has been compromised. Please call us back immediately at 001-927-598-5165x834 to secure your funds.,125
294619c4-5a4e-4f12-b085-f2de0aa1bef8,Phone,Hello! We're conducting a market research for new new services. Your input is valuable. Please answer a few questions to participate.,133
f447f389-7f94-406f-99e8-30c2981fc566,Phone,"Congratulations! You've been selected for a free premium subscription. To claim your prize, please confirm your your credit card number.",136
4fa2b74f-4baa-47fe-9d61-782f821daf3c,Phone,"Hello, you've been selected for a free trial of our email account. To activate, please enter your full name and date of birth.",126
